d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
1,1,1,20,4,460,0.9689,0.0476,0.9689,0.0476
1,0,1,20,20,1540,0.9689,0.0476,0.9789,0.0423
0,1,1,20,24,1848,0.9689,0.0476,0.9889,0.0333
1,1,0,20,18,1386,0.9789,0.0423,0.9789,0.0423
1,1,1,20,8,920,0.9689,0.0476,0.9900,0.0300
1,0,1,20,24,1848,0.9689,0.0476,0.9789,0.0423
1,1,1,20,10,1150,0.9689,0.0476,0.9889,0.0333
0,0,1,35,4,276,0.9800,0.0400,0.9800,0.0400
1,1,0,20,20,1540,0.9789,0.0423,0.9789,0.0423
0,0,1,35,8,552,0.9800,0.0400,0.9800,0.0400
0,0,1,35,10,690,0.9800,0.0400,0.9800,0.0400
1,1,1,20,14,1610,0.9689,0.0476,0.9689,0.0476
0,0,1,35,14,966,0.9700,0.0458,0.9900,0.0300
1,1,0,20,24,1848,0.9689,0.0476,0.9789,0.0423
0,1,0,35,4,276,0.9589,0.0504,0.9789,0.0423
0,1,0,35,8,552,0.9489,0.0512,0.9800,0.0400
0,0,1,35,18,1242,0.9700,0.0640,0.9689,0.0476
0,1,0,35,10,690,0.9689,0.0476,0.9889,0.0333
0,0,1,35,20,1380,0.9700,0.0458,0.9700,0.0640
0,1,0,35,14,966,0.9789,0.0423,0.9789,0.0423
0,1,1,35,4,548,0.9800,0.0400,0.9800,0.0400
1,1,1,20,18,2070,0.9689,0.0476,0.9689,0.0476
0,0,1,35,24,1656,0.9600,0.0663,0.9589,0.0674
0,1,0,35,18,1242,0.9689,0.0476,0.9789,0.0423
0,1,0,35,20,1380,0.9889,0.0333,0.9789,0.0423
0,1,1,35,8,1096,0.9689,0.0476,0.9800,0.0400
0,1,0,35,24,1656,0.9689,0.0476,0.9789,0.0423
0,1,1,35,10,1370,0.9689,0.0476,0.9900,0.0300
1,0,0,35,4,276,0.9689,0.0476,0.9800,0.0400
1,1,1,20,20,2300,0.9689,0.0476,0.9789,0.0423
1,0,0,35,8,552,0.9689,0.0476,0.9789,0.0423
1,0,0,35,10,690,0.9889,0.0333,0.9889,0.0333
1,0,0,35,14,966,0.9689,0.0476,0.9789,0.0423
0,1,1,35,14,1918,0.9800,0.0400,0.9900,0.0300
1,0,0,35,18,1242,0.9789,0.0423,0.9889,0.0333
1,0,1,35,4,548,0.9800,0.0400,0.9800,0.0400
1,0,0,35,20,1380,0.9789,0.0423,0.9889,0.0333
1,0,1,35,8,1096,0.9689,0.0476,0.9689,0.0476
1,1,1,20,24,2760,0.9689,0.0476,0.9789,0.0423
1,0,1,35,10,1370,0.9689,0.0476,0.9689,0.0476
1,0,0,35,24,1656,0.9889,0.0333,0.9889,0.0333
1,1,0,35,4,548,0.9789,0.0423,0.9889,0.0333
1,1,0,35,8,1096,0.9789,0.0423,0.9889,0.0333
0,1,1,35,18,2466,0.9689,0.0476,0.9800,0.0400
1,0,1,35,14,1918,0.9689,0.0476,0.9689,0.0476
1,1,0,35,10,1370,0.9889,0.0333,1.0000,0.0000
0,1,1,35,20,2740,0.9800,0.0400,0.9789,0.0423
1,1,0,35,14,1918,0.9789,0.0423,0.9889,0.0333
1,1,1,35,4,820,0.9689,0.0476,0.9689,0.0476
