d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,20,22,858,0.9554,0.0290,0.9652,0.0320
0,0,1,20,24,936,0.9652,0.0277,0.9602,0.0300
0,1,0,20,4,156,0.9329,0.0372,0.9254,0.0355
0,1,0,20,6,234,0.9404,0.0202,0.9155,0.0230
0,1,0,20,8,312,0.9229,0.0396,0.9206,0.0291
0,1,0,20,10,390,0.9453,0.0246,0.9379,0.0357
0,1,0,20,12,468,0.9453,0.0269,0.9354,0.0358
0,1,0,20,14,546,0.9329,0.0298,0.9355,0.0254
0,1,0,20,16,624,0.9354,0.0278,0.9379,0.0257
0,1,0,20,18,702,0.9255,0.0224,0.9380,0.0254
0,1,0,20,20,780,0.9330,0.0195,0.9305,0.0217
0,1,0,20,22,858,0.9256,0.0314,0.9380,0.0300
0,1,0,20,24,936,0.9404,0.0229,0.9380,0.0229
0,1,1,20,4,308,0.9231,0.0234,0.9379,0.0199
0,1,1,20,6,462,0.9380,0.0371,0.9504,0.0293
0,1,1,20,8,616,0.9429,0.0372,0.9552,0.0368
1,0,0,20,14,546,0.9255,0.0315,0.9379,0.0231
0,1,1,20,10,770,0.9577,0.0318,0.9602,0.0320
1,0,0,20,16,624,0.9230,0.0263,0.9329,0.0197
1,0,0,20,18,702,0.9354,0.0256,0.9330,0.0251
0,1,1,20,12,924,0.9528,0.0362,0.9578,0.0336
1,0,0,20,20,780,0.9354,0.0279,0.9330,0.0192
1,0,0,20,22,858,0.9355,0.0299,0.9330,0.0192
1,0,1,20,24,1848,0.9405,0.0355,0.9527,0.0284
1,1,0,20,4,308,0.9181,0.0251,0.9354,0.0339
0,1,1,20,14,1078,0.9379,0.0465,0.9577,0.0298
1,0,0,20,24,936,0.9228,0.0308,0.9355,0.0199
1,1,0,20,6,462,0.9278,0.0381,0.9329,0.0446
1,0,1,20,4,308,0.9527,0.0395,0.9428,0.0402
1,1,0,20,8,616,0.9352,0.0391,0.9255,0.0222
1,0,1,20,6,462,0.9353,0.0322,0.9378,0.0375
1,1,0,20,10,770,0.9255,0.0275,0.9305,0.0244
1,0,1,20,8,616,0.9330,0.0353,0.9429,0.0275
0,1,1,20,16,1232,0.9280,0.0394,0.9552,0.0368
1,1,0,20,12,924,0.9254,0.0371,0.9354,0.0230
1,0,1,20,10,770,0.9480,0.0341,0.9527,0.0236
1,1,0,20,14,1078,0.9329,0.0318,0.9282,0.0229
1,0,1,20,12,924,0.9503,0.0317,0.9379,0.0339
0,1,1,20,18,1386,0.9553,0.0332,0.9577,0.0355
1,1,0,20,16,1232,0.9180,0.0319,0.9330,0.0223
1,0,1,20,14,1078,0.9355,0.0371,0.9379,0.0322
0,1,1,20,20,1540,0.9478,0.0481,0.9677,0.0317
1,1,0,20,18,1386,0.9305,0.0400,0.9380,0.0298
1,0,1,20,16,1232,0.9453,0.0416,0.9577,0.0318
0,1,1,20,22,1694,0.9528,0.0284,0.9627,0.0321
1,1,0,20,20,1540,0.9255,0.0224,0.9504,0.0292
1,0,1,20,18,1386,0.9478,0.0306,0.9577,0.0253
1,1,0,20,22,1694,0.9330,0.0114,0.9355,0.0295
0,1,1,20,24,1848,0.9528,0.0379,0.9626,0.0322
1,0,0,20,4,156,0.9304,0.0293,0.9253,0.0405
1,0,0,20,6,234,0.9278,0.0328,0.9353,0.0392
1,0,1,20,20,1540,0.9429,0.0372,0.9453,0.0246
1,0,0,20,8,312,0.9030,0.0397,0.9280,0.0326
1,0,0,20,10,390,0.9279,0.0440,0.9205,0.0312
1,0,0,20,12,468,0.9154,0.0323,0.9354,0.0230
1,1,0,20,24,1848,0.9305,0.0267,0.9355,0.0197
1,1,1,20,4,460,0.9230,0.0283,0.9379,0.0340
1,1,1,20,6,690,0.9404,0.0319,0.9404,0.0300
1,1,1,20,12,1380,0.9578,0.0317,0.9478,0.0306
1,0,1,20,22,1694,0.9280,0.0361,0.9528,0.0323
1,1,1,20,8,920,0.9305,0.0244,0.9330,0.0251
0,0,1,25,22,1078,0.9552,0.0399,0.9701,0.0218
1,1,1,20,10,1150,0.9354,0.0449,0.9305,0.0313
1,1,1,20,14,1610,0.9453,0.0401,0.9479,0.0361
0,0,1,25,24,1176,0.9553,0.0269,0.9651,0.0320
0,1,1,25,10,970,0.9577,0.0355,0.9527,0.0362
0,1,0,25,4,196,0.9304,0.0386,0.9329,0.0335
0,1,0,25,6,294,0.9429,0.0162,0.9255,0.0160
0,1,0,25,8,392,0.9404,0.0255,0.9330,0.0275
0,1,0,25,10,490,0.9180,0.0388,0.9305,0.0399
0,1,0,25,12,588,0.9278,0.0346,0.9404,0.0319
0,1,1,25,12,1164,0.9478,0.0362,0.9578,0.0336
0,1,0,25,14,686,0.9304,0.0270,0.9330,0.0223
1,1,1,20,16,1840,0.9403,0.0257,0.9427,0.0253
0,1,0,25,16,784,0.9279,0.0238,0.9305,0.0268
0,1,0,25,18,882,0.9304,0.0189,0.9355,0.0277
0,1,1,25,14,1358,0.9528,0.0362,0.9651,0.0357
0,1,0,25,20,980,0.9254,0.0354,0.9356,0.0354
0,1,0,25,22,1078,0.9453,0.0293,0.9405,0.0336
0,1,1,25,16,1552,0.9504,0.0335,0.9652,0.0301
0,1,0,25,24,1176,0.9379,0.0281,0.9454,0.0291
0,1,1,25,4,388,0.9429,0.0317,0.9454,0.0291
1,1,1,20,18,2070,0.9304,0.0351,0.9430,0.0293
0,1,1,25,6,582,0.9330,0.0275,0.9452,0.0293
0,1,1,25,8,776,0.9329,0.0354,0.9602,0.0229
1,0,0,25,20,980,0.9404,0.0375,0.9430,0.0193
0,1,1,25,18,1746,0.9652,0.0200,0.9578,0.0275
1,0,0,25,22,1078,0.9330,0.0160,0.9405,0.0198
1,0,0,25,24,1176,0.9230,0.0261,0.9453,0.0270
1,0,1,25,4,388,0.9527,0.0344,0.9353,0.0407
1,0,1,25,6,582,0.9453,0.0313,0.9329,0.0373
1,1,1,20,20,2300,0.9502,0.0317,0.9529,0.0234
0,1,1,25,20,1940,0.9428,0.0356,0.9652,0.0320
1,0,1,25,8,776,0.9454,0.0312,0.9427,0.0371
1,0,1,25,10,970,0.9405,0.0388,0.9527,0.0307
1,0,1,25,12,1164,0.9405,0.0252,0.9454,0.0269
0,1,1,25,22,2134,0.9529,0.0305,0.9627,0.0301
1,0,1,25,14,1358,0.9552,0.0292,0.9552,0.0270
1,1,1,20,22,2530,0.9504,0.0370,0.9529,0.0259
1,0,1,25,16,1552,0.9479,0.0234,0.9577,0.0252
0,1,1,25,24,2328,0.9528,0.0236,0.9677,0.0336
1,0,0,25,4,196,0.9304,0.0245,0.9179,0.0356
1,0,0,25,6,294,0.9279,0.0286,0.9354,0.0358
1,0,0,25,8,392,0.9030,0.0266,0.9304,0.0367
1,0,0,25,10,490,0.9255,0.0387,0.9230,0.0235
1,0,0,25,12,588,0.9305,0.0244,0.9229,0.0211
1,0,1,25,18,1746,0.9480,0.0233,0.9454,0.0216
1,0,0,25,14,686,0.9230,0.0286,0.9255,0.0222
1,0,0,25,16,784,0.9304,0.0247,0.9329,0.0276
1,0,0,25,18,882,0.9329,0.0372,0.9453,0.0270
