d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
1,1,1,35,10,0.8567,0.0478,0.8617,0.0448
1,1,1,40,10,0.8667,0.0236,0.8517,0.0474
1,1,1,45,10,0.8683,0.0311,0.8533,0.0420
1,1,1,50,10,0.8850,0.0302,0.8633,0.0482
1,1,1,10,12,0.8767,0.0335,0.8400,0.0429
1,1,1,20,12,0.8733,0.0382,0.8367,0.0386
1,1,1,25,12,0.8733,0.0467,0.8533,0.0427
1,1,1,30,12,0.8900,0.0410,0.8567,0.0467
1,1,1,35,12,0.8850,0.0535,0.8600,0.0478
1,1,1,40,12,0.8817,0.0283,0.8483,0.0431
1,1,1,45,12,0.8833,0.0357,0.8517,0.0450
1,1,1,50,12,0.8717,0.0224,0.8550,0.0415
1,1,1,10,14,0.8850,0.0418,0.8300,0.0433
1,1,1,20,14,0.8917,0.0410,0.8550,0.0517
1,1,1,25,14,0.8783,0.0527,0.8467,0.0482
1,1,1,30,14,0.8850,0.0431,0.8633,0.0386
1,1,1,35,14,0.8700,0.0414,0.8617,0.0448
1,1,1,40,14,0.8683,0.0283,0.8600,0.0528
1,1,1,45,14,0.8850,0.0411,0.8617,0.0511
1,1,1,50,14,0.8800,0.0364,0.8600,0.0416
1,1,1,10,16,0.8783,0.0472,0.8400,0.0528
1,1,1,20,16,0.8800,0.0562,0.8517,0.0480
1,1,1,25,16,0.8817,0.0337,0.8517,0.0450
1,1,1,30,16,0.8933,0.0374,0.8550,0.0543
1,1,1,35,16,0.8917,0.0396,0.8667,0.0435
1,1,1,40,16,0.8800,0.0414,0.8617,0.0448
1,1,1,45,16,0.8917,0.0436,0.8633,0.0464
1,1,1,50,16,0.8800,0.0306,0.8600,0.0501
1,1,1,10,18,0.8800,0.0233,0.8500,0.0477
1,1,1,20,18,0.8900,0.0455,0.8700,0.0393
1,1,1,25,18,0.8950,0.0317,0.8600,0.0467
1,1,1,30,18,0.8850,0.0468,0.8783,0.0506
1,1,1,35,18,0.8900,0.0490,0.8700,0.0433
1,1,1,40,18,0.8933,0.0396,0.8750,0.0436
1,1,1,45,18,0.8833,0.0298,0.8733,0.0461
1,1,1,50,18,0.8817,0.0320,0.8750,0.0436
1,1,1,10,20,0.8783,0.0289,0.8500,0.0441
1,1,1,20,20,0.8867,0.0499,0.8650,0.0589
1,1,1,25,20,0.8867,0.0371,0.8617,0.0466
1,1,1,30,20,0.8850,0.0302,0.8700,0.0470
1,1,1,35,20,0.8883,0.0428,0.8683,0.0550
1,1,1,40,20,0.8817,0.0391,0.8767,0.0327
1,1,1,45,20,0.8783,0.0342,0.8750,0.0544
1,1,1,50,20,0.9050,0.0350,0.8783,0.0460
0,0,1,55,4,0.8800,0.0371,0.8267,0.0271
0,0,1,60,4,0.8750,0.0344,0.8350,0.0337
0,0,1,65,4,0.8583,0.0479,0.8283,0.0342
0,0,1,70,4,0.8683,0.0273,0.8267,0.0382
0,0,1,55,6,0.8733,0.0343,0.8400,0.0291
0,0,1,60,6,0.8883,0.0415,0.8517,0.0391
0,0,1,65,6,0.8683,0.0311,0.8433,0.0271
0,0,1,70,6,0.8783,0.0279,0.8583,0.0318
0,0,1,55,8,0.8683,0.0444,0.8417,0.0430
0,0,1,60,8,0.8667,0.0333,0.8517,0.0383
0,0,1,65,8,0.8517,0.0456,0.8517,0.0320
0,0,1,70,8,0.8583,0.0512,0.8567,0.0403
0,0,1,55,10,0.8567,0.0436,0.8633,0.0407
0,0,1,60,10,0.8733,0.0309,0.8600,0.0318
0,0,1,65,10,0.8683,0.0450,0.8533,0.0452
0,0,1,70,10,0.8383,0.0428,0.8533,0.0476
0,0,1,55,12,0.8550,0.0483,0.8617,0.0380
0,0,1,60,12,0.8567,0.0318,0.8667,0.0441
0,0,1,65,12,0.8633,0.0364,0.8517,0.0398
0,0,1,70,12,0.8533,0.0572,0.8583,0.0359
0,0,1,55,14,0.8767,0.0403,0.8700,0.0427
0,0,1,60,14,0.8767,0.0249,0.8683,0.0353
0,0,1,65,14,0.8783,0.0325,0.8633,0.0420
0,0,1,70,14,0.8517,0.0594,0.8683,0.0369
0,0,1,55,16,0.8717,0.0460,0.8783,0.0358
0,0,1,60,16,0.8783,0.0409,0.8717,0.0342
0,0,1,65,16,0.8817,0.0353,0.8617,0.0334
0,0,1,70,16,0.8583,0.0549,0.8650,0.0320
0,0,1,55,18,0.8817,0.0361,0.8583,0.0261
0,0,1,60,18,0.8883,0.0350,0.8850,0.0329
0,0,1,65,18,0.8867,0.0348,0.8667,0.0380
0,0,1,70,18,0.8550,0.0460,0.8667,0.0365
0,0,1,55,20,0.9000,0.0279,0.8717,0.0415
0,0,1,60,20,0.8933,0.0271,0.8650,0.0302
0,0,1,65,20,0.8583,0.0410,0.8650,0.0252
0,0,1,70,20,0.8767,0.0467,0.8717,0.0409
0,0,1,10,22,0.8817,0.0369,0.8600,0.0318
0,0,1,20,22,0.8900,0.0382,0.8700,0.0332
0,0,1,25,22,0.8767,0.0544,0.8683,0.0320
0,0,1,30,22,0.8983,0.0353,0.8783,0.0325
0,0,1,35,22,0.8833,0.0333,0.8750,0.0389
0,0,1,40,22,0.8900,0.0260,0.8750,0.0318
0,0,1,45,22,0.8850,0.0311,0.8750,0.0261
0,0,1,50,22,0.8767,0.0374,0.8700,0.0233
0,0,1,55,22,0.8883,0.0334,0.8767,0.0343
0,0,1,60,22,0.8933,0.0396,0.8783,0.0366
0,0,1,65,22,0.8700,0.0440,0.8583,0.0359
0,0,1,70,22,0.8750,0.0382,0.8717,0.0334
0,0,1,10,24,0.8833,0.0453,0.8583,0.0335
0,0,1,20,24,0.8950,0.0325,0.8650,0.0353
0,0,1,25,24,0.8867,0.0386,0.8767,0.0335
0,0,1,30,24,0.8983,0.0376,0.8833,0.0333
0,0,1,35,24,0.8850,0.0337,0.8717,0.0422
0,0,1,40,24,0.8867,0.0277,0.8733,0.0335
0,0,1,45,24,0.8900,0.0327,0.8717,0.0279
0,0,1,50,24,0.8817,0.0411,0.8683,0.0383
0,0,1,55,24,0.8783,0.0388,0.8633,0.0323
0,0,1,60,24,0.8933,0.0238,0.8783,0.0334
0,0,1,65,24,0.8867,0.0379,0.8783,0.0269
0,0,1,70,24,0.8633,0.0493,0.8767,0.0396
0,1,0,55,4,0.8367,0.0504,0.8083,0.0607
0,1,0,60,4,0.8383,0.0573,0.8033,0.0632
0,1,0,65,4,0.8433,0.0659,0.8100,0.0549
0,1,0,70,4,0.8350,0.0617,0.8217,0.0597
0,1,0,55,6,0.8350,0.0437,0.8067,0.0484
0,1,0,60,6,0.8367,0.0458,0.8167,0.0573
0,1,0,65,6,0.8417,0.0423,0.8300,0.0393
0,1,0,70,6,0.8433,0.0410,0.8317,0.0535
0,1,0,55,8,0.8517,0.0555,0.8150,0.0491
0,1,0,60,8,0.8400,0.0478,0.8217,0.0409
0,1,0,65,8,0.8500,0.0543,0.8267,0.0484
0,1,0,70,8,0.8600,0.0578,0.8333,0.0516
0,1,0,55,10,0.8400,0.0554,0.8167,0.0563
0,1,0,60,10,0.8400,0.0528,0.8200,0.0504
0,1,0,65,10,0.8517,0.0540,0.8233,0.0374
0,1,0,70,10,0.8533,0.0581,0.8267,0.0633
0,1,0,55,12,0.8433,0.0484,0.8250,0.0559
0,1,0,60,12,0.8550,0.0587,0.8300,0.0605
0,1,0,65,12,0.8533,0.0482,0.8317,0.0626
0,1,0,70,12,0.8500,0.0516,0.8250,0.0727
0,1,0,55,14,0.8383,0.0543,0.8150,0.0545
