d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,20,20,780,0.8983,0.0411,0.8700,0.0306
0,0,1,25,20,980,0.8850,0.0273,0.8750,0.0310
0,0,1,30,20,1180,0.9033,0.0233,0.8783,0.0308
0,0,1,35,20,1380,0.8750,0.0335,0.8700,0.0364
0,0,1,40,20,1580,0.8850,0.0311,0.8733,0.0271
0,0,1,45,20,1780,0.8900,0.0309,0.8767,0.0249
0,0,1,50,20,1980,0.8867,0.0470,0.8767,0.0367
0,0,1,55,20,2180,0.8883,0.0279,0.8617,0.0380
0,0,1,60,20,2380,0.8783,0.0395,0.8650,0.0383
0,0,1,65,20,2580,0.8767,0.0448,0.8717,0.0248
0,0,1,70,20,2780,0.8700,0.0488,0.8633,0.0332
0,0,1,10,22,418,0.8850,0.0345,0.8550,0.0342
0,0,1,20,22,858,0.8917,0.0410,0.8633,0.0356
0,0,1,25,22,1078,0.8983,0.0229,0.8700,0.0340
0,0,1,30,22,1298,0.8833,0.0316,0.8750,0.0271
0,0,1,35,22,1518,0.8800,0.0356,0.8700,0.0371
0,0,1,40,22,1738,0.8767,0.0416,0.8750,0.0300
0,0,1,45,22,1958,0.8867,0.0323,0.8717,0.0308
0,0,1,50,22,2178,0.8917,0.0461,0.8583,0.0359
0,0,1,55,22,2398,0.8767,0.0389,0.8667,0.0298
0,0,1,60,22,2618,0.8883,0.0289,0.8767,0.0403
0,0,1,65,22,2838,0.8817,0.0404,0.8800,0.0314
0,0,1,70,22,3058,0.8650,0.0391,0.8733,0.0238
0,0,1,10,24,456,0.8867,0.0364,0.8567,0.0374
0,0,1,20,24,936,0.8900,0.0455,0.8667,0.0350
0,0,1,25,24,1176,0.8933,0.0291,0.8700,0.0277
0,0,1,30,24,1416,0.8967,0.0287,0.8800,0.0348
0,0,1,35,24,1656,0.8833,0.0415,0.8717,0.0325
0,0,1,40,24,1896,0.8800,0.0433,0.8717,0.0454
0,0,1,45,24,2136,0.8850,0.0398,0.8783,0.0259
