d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,1,0,20,4,156,0.8337,0.0453,0.7174,0.0355
0,1,0,20,6,234,0.8338,0.0461,0.7351,0.0444
0,1,0,20,8,312,0.8534,0.0367,0.7858,0.0418
0,1,0,20,10,390,0.8702,0.0333,0.7982,0.0402
0,1,0,20,12,468,0.8694,0.0484,0.8320,0.0319
0,1,0,20,14,546,0.8703,0.0465,0.8258,0.0436
0,1,0,20,16,624,0.8800,0.0479,0.8346,0.0297
0,0,1,20,22,858,0.8827,0.0342,0.8765,0.0318
0,1,0,20,18,702,0.8791,0.0403,0.8418,0.0232
0,1,0,20,20,780,0.8809,0.0393,0.8515,0.0313
0,1,0,20,22,858,0.8703,0.0421,0.8445,0.0335
0,0,1,20,24,936,0.8871,0.0242,0.8827,0.0323
0,1,1,20,4,156,0.8666,0.0412,0.7956,0.0381
0,1,1,20,6,234,0.8791,0.0367,0.8356,0.0415
0,1,0,20,24,936,0.8649,0.0430,0.8409,0.0306
0,1,1,20,8,312,0.8800,0.0330,0.8533,0.0343
0,1,1,20,10,390,0.8899,0.0419,0.8605,0.0412
0,1,1,20,12,468,0.8907,0.0407,0.8649,0.0426
0,1,1,20,14,546,0.8898,0.0362,0.8667,0.0418
0,1,1,20,16,624,0.8809,0.0260,0.8676,0.0384
0,1,1,20,18,702,0.8889,0.0203,0.8764,0.0352
0,1,1,20,20,780,0.8996,0.0301,0.8729,0.0368
1,0,0,20,4,156,0.8764,0.0378,0.7991,0.0307
1,0,0,20,6,234,0.8729,0.0452,0.8311,0.0411
1,0,0,20,8,312,0.8987,0.0313,0.8453,0.0389
1,0,0,20,10,390,0.8907,0.0376,0.8596,0.0416
1,0,0,20,12,468,0.8951,0.0326,0.8782,0.0401
1,0,0,20,14,546,0.8907,0.0341,0.8747,0.0416
0,1,1,20,22,858,0.8951,0.0209,0.8836,0.0303
1,0,0,20,16,624,0.8845,0.0296,0.8827,0.0340
1,0,0,20,18,702,0.8915,0.0275,0.8818,0.0401
0,1,1,20,24,936,0.8898,0.0177,0.8836,0.0346
1,0,0,20,20,780,0.9022,0.0275,0.8854,0.0351
1,0,1,20,4,156,0.8871,0.0309,0.8196,0.0364
1,0,1,20,6,234,0.8863,0.0349,0.8445,0.0428
1,0,0,20,22,858,0.8951,0.0282,0.8960,0.0327
1,0,1,20,8,312,0.8916,0.0355,0.8667,0.0336
1,0,0,20,24,936,0.8916,0.0330,0.8862,0.0268
1,0,1,20,10,390,0.9013,0.0480,0.8640,0.0376
1,0,1,20,12,468,0.8987,0.0306,0.8791,0.0388
1,0,1,20,14,546,0.9058,0.0272,0.8880,0.0405
1,0,1,20,16,624,0.8969,0.0438,0.8925,0.0411
1,0,1,20,18,702,0.8978,0.0263,0.9005,0.0351
1,0,1,20,22,858,0.9040,0.0296,0.9023,0.0365
1,1,0,20,4,156,0.8533,0.0450,0.7848,0.0407
1,1,0,20,6,234,0.8826,0.0438,0.8231,0.0292
1,1,0,20,8,312,0.8853,0.0475,0.8373,0.0346
1,0,1,20,20,780,0.9120,0.0187,0.9120,0.0311
1,1,0,20,10,390,0.8818,0.0422,0.8382,0.0405
1,1,0,20,12,468,0.8916,0.0366,0.8524,0.0445
1,1,0,20,14,546,0.8978,0.0293,0.8676,0.0394
1,1,0,20,16,624,0.8933,0.0278,0.8694,0.0429
1,1,0,20,18,702,0.8996,0.0373,0.8889,0.0417
1,1,0,20,20,780,0.9005,0.0282,0.8791,0.0369
1,1,0,20,22,858,0.9040,0.0321,0.8863,0.0407
1,1,1,20,4,156,0.8596,0.0349,0.8142,0.0362
1,1,1,20,6,234,0.8933,0.0283,0.8542,0.0412
1,1,0,20,24,936,0.9005,0.0353,0.8854,0.0320
1,1,1,20,8,312,0.9004,0.0294,0.8649,0.0283
1,1,1,20,10,390,0.8889,0.0341,0.8738,0.0328
1,0,1,20,24,936,0.9031,0.0264,0.9067,0.0294
1,1,1,20,12,468,0.8960,0.0331,0.8809,0.0350
1,1,1,20,14,546,0.8934,0.0448,0.8836,0.0449
1,1,1,20,16,624,0.8996,0.0343,0.8818,0.0356
1,1,1,20,18,702,0.9014,0.0311,0.8987,0.0467
1,1,1,20,20,780,0.9049,0.0298,0.8987,0.0367
1,1,1,20,22,858,0.9085,0.0304,0.8960,0.0428
1,1,1,20,24,936,0.9040,0.0294,0.8996,0.0357
1,1,1,60,20,7100,0.8934,0.0376,0.9290,0.0316
