d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,1,0,20,22,858,0.7447,0.0566,0.7299,0.0759
0,1,0,20,24,936,0.7474,0.0475,0.7269,0.0675
0,1,1,20,6,462,0.7298,0.0568,0.7470,0.0498
0,1,1,20,8,616,0.7296,0.0589,0.7530,0.0406
0,1,1,20,10,770,0.7560,0.0380,0.7676,0.0303
0,1,1,20,12,924,0.7620,0.0489,0.7824,0.0276
0,1,1,20,14,1078,0.7736,0.0381,0.7794,0.0282
0,1,1,20,16,1232,0.7530,0.0664,0.7706,0.0368
0,1,1,20,18,1386,0.7562,0.0736,0.7855,0.0400
0,1,1,20,20,1540,0.7560,0.0642,0.7854,0.0387
1,0,0,20,4,156,0.7827,0.0384,0.7415,0.0467
1,0,0,20,6,234,0.8003,0.0610,0.7560,0.0360
1,0,0,20,8,312,0.8123,0.0690,0.7706,0.0286
1,0,0,20,10,390,0.7827,0.0831,0.7560,0.0495
1,0,0,20,12,468,0.7798,0.0592,0.7766,0.0348
1,0,0,20,14,546,0.7740,0.0724,0.7708,0.0468
0,1,1,20,22,1694,0.7386,0.0700,0.7766,0.0504
1,0,0,20,16,624,0.7859,0.0681,0.7736,0.0279
1,0,0,20,18,702,0.7915,0.0584,0.7679,0.0385
1,0,0,20,20,780,0.7620,0.0417,0.7736,0.0495
0,1,1,20,24,1848,0.7501,0.0675,0.7854,0.0562
1,0,0,20,22,858,0.8003,0.0536,0.7707,0.0340
1,0,1,20,4,308,0.7593,0.0666,0.7531,0.0473
1,0,0,20,24,936,0.7675,0.0621,0.7856,0.0637
1,0,1,20,6,462,0.7561,0.0440,0.7853,0.0271
1,0,1,20,8,616,0.7474,0.0694,0.7853,0.0377
1,0,1,20,10,770,0.7617,0.0743,0.8057,0.0336
1,0,1,20,12,924,0.7764,0.0511,0.7971,0.0418
1,0,1,20,14,1078,0.7646,0.0498,0.8061,0.0376
1,0,1,20,16,1232,0.7647,0.0607,0.7912,0.0458
1,0,1,20,18,1386,0.7650,0.0640,0.7913,0.0435
1,0,1,20,20,1540,0.7531,0.0527,0.7854,0.0390
1,1,0,20,4,308,0.7855,0.0418,0.7589,0.0488
1,1,0,20,6,462,0.7829,0.0652,0.7560,0.0280
1,0,1,20,22,1694,0.7355,0.0535,0.7795,0.0431
1,1,0,20,8,616,0.7886,0.0746,0.7854,0.0452
1,1,0,20,10,770,0.7973,0.0660,0.7824,0.0566
1,0,1,20,24,1848,0.7472,0.0654,0.7854,0.0526
1,1,0,20,12,924,0.7709,0.0580,0.7707,0.0564
1,1,0,20,14,1078,0.7679,0.0675,0.7883,0.0540
1,1,0,20,16,1232,0.7624,0.0715,0.7795,0.0450
1,1,0,20,18,1386,0.7593,0.0575,0.7912,0.0518
1,1,0,20,20,1540,0.7593,0.0525,0.7796,0.0398
1,1,1,20,4,460,0.7709,0.0702,0.7764,0.0455
1,1,0,20,22,1694,0.7564,0.0625,0.7854,0.0497
1,1,0,20,24,1848,0.7650,0.0460,0.8003,0.0498
1,1,1,20,6,690,0.7679,0.0505,0.7735,0.0403
1,1,1,20,8,920,0.7355,0.0536,0.7676,0.0272
1,1,1,20,10,1150,0.7591,0.0513,0.7883,0.0282
1,1,1,20,12,1380,0.7798,0.0546,0.7854,0.0441
1,1,1,20,14,1610,0.8001,0.0518,0.7912,0.0270
1,1,1,20,16,1840,0.7500,0.0697,0.7910,0.0408
1,1,1,20,18,2070,0.7620,0.0676,0.8000,0.0464
1,1,1,20,20,2300,0.7886,0.0595,0.7852,0.0574
0,0,1,25,4,196,0.7501,0.0608,0.7117,0.0647
0,0,1,25,6,294,0.7619,0.0595,0.7589,0.0445
0,0,1,25,8,392,0.7618,0.0650,0.7443,0.0307
0,0,1,25,10,490,0.7532,0.0720,0.7443,0.0507
0,0,1,25,12,588,0.7562,0.0719,0.7710,0.0486
0,0,1,25,14,686,0.7705,0.0936,0.7737,0.0513
0,0,1,25,16,784,0.7442,0.0655,0.7943,0.0393
1,1,1,20,22,2530,0.7620,0.0555,0.8059,0.0481
0,0,1,25,18,882,0.7530,0.0874,0.7796,0.0542
0,0,1,25,20,980,0.7417,0.0921,0.7536,0.0926
0,0,1,25,22,1078,0.7591,0.0927,0.7739,0.0809
0,1,0,25,4,196,0.7182,0.0637,0.6674,0.0490
0,1,0,25,6,294,0.7033,0.0501,0.6915,0.0509
0,1,0,25,8,392,0.7091,0.0465,0.7149,0.0540
0,0,1,25,24,1176,0.7182,0.1056,0.7593,0.0733
0,1,0,25,10,490,0.7298,0.0567,0.7325,0.0427
1,1,1,20,24,2760,0.7707,0.0742,0.7999,0.0412
0,1,0,25,12,588,0.7180,0.0547,0.7180,0.0612
0,1,0,25,14,686,0.7180,0.0798,0.7384,0.0460
0,1,0,25,16,784,0.7238,0.0506,0.7413,0.0500
0,1,0,25,18,882,0.7386,0.0574,0.7267,0.0582
0,1,0,25,20,980,0.7471,0.0635,0.7593,0.0643
0,1,1,25,4,196,0.7501,0.0452,0.7144,0.0554
0,1,1,25,6,294,0.7560,0.0338,0.7175,0.0499
0,1,1,25,8,392,0.7562,0.0626,0.7323,0.0730
0,1,0,25,22,1078,0.7503,0.0591,0.7443,0.0491
0,1,1,25,10,490,0.7621,0.0564,0.7528,0.0445
0,1,1,25,12,588,0.7593,0.0499,0.7709,0.0450
0,1,0,25,24,1176,0.7356,0.0529,0.7299,0.0703
0,1,1,25,14,686,0.7503,0.0550,0.7620,0.0519
0,1,1,25,16,784,0.7562,0.0749,0.7707,0.0443
0,1,1,25,18,882,0.7710,0.0762,0.7767,0.0409
0,1,1,25,20,980,0.7619,0.0620,0.7944,0.0453
1,0,0,25,4,196,0.7795,0.0252,0.7444,0.0430
0,1,1,25,22,1078,0.7798,0.0604,0.7943,0.0390
1,0,0,25,6,294,0.7915,0.0624,0.7766,0.0321
1,0,0,25,8,392,0.8093,0.0632,0.7706,0.0278
1,0,0,25,10,490,0.7975,0.0686,0.7737,0.0530
0,1,1,25,24,1176,0.7707,0.0826,0.7915,0.0590
1,0,0,25,12,588,0.7474,0.0761,0.7676,0.0338
1,0,0,25,14,686,0.7591,0.0668,0.7882,0.0373
1,0,0,25,16,784,0.7533,0.0547,0.7765,0.0372
1,0,0,25,18,882,0.7768,0.0525,0.7823,0.0420
1,0,0,25,20,980,0.7796,0.0472,0.7943,0.0394
1,0,1,25,4,196,0.7766,0.0490,0.7618,0.0239
1,0,0,25,22,1078,0.7798,0.0452,0.7769,0.0452
1,0,1,25,6,294,0.7826,0.0691,0.7678,0.0484
1,0,1,25,10,490,0.8210,0.0547,0.7793,0.0295
1,0,1,25,8,392,0.8003,0.0731,0.8001,0.0326
1,0,0,25,24,1176,0.7797,0.0388,0.7856,0.0529
1,0,1,25,12,588,0.8003,0.0596,0.8061,0.0497
1,0,1,25,14,686,0.8003,0.0485,0.8149,0.0284
1,0,1,25,16,784,0.8092,0.0624,0.7973,0.0377
1,0,1,25,18,882,0.7766,0.0317,0.8090,0.0353
1,0,1,25,20,980,0.7913,0.0583,0.7943,0.0313
1,1,0,25,4,196,0.7768,0.0391,0.7472,0.0373
1,1,0,25,6,294,0.7766,0.0449,0.7529,0.0453
1,1,0,25,8,392,0.7620,0.0459,0.7618,0.0372
1,0,1,25,22,1078,0.7886,0.0726,0.7973,0.0439
1,0,1,25,24,1176,0.7883,0.0484,0.8030,0.0256
1,1,0,25,10,490,0.7944,0.0507,0.7589,0.0344
1,1,0,25,12,588,0.8033,0.0559,0.7826,0.0547
1,1,0,25,14,686,0.7917,0.0866,0.7590,0.0453
1,1,0,25,16,784,0.7592,0.0945,0.7825,0.0415
1,1,0,25,18,882,0.7766,0.0528,0.7852,0.0251
1,1,0,25,20,980,0.7623,0.0649,0.7970,0.0312
1,1,1,25,4,196,0.7646,0.0319,0.7442,0.0440
1,1,0,25,22,1078,0.7737,0.0460,0.7852,0.0259
1,1,1,25,6,294,0.7797,0.0574,0.7737,0.0292
1,1,1,25,10,490,0.7944,0.0434,0.7764,0.0409
1,1,1,25,8,392,0.7709,0.0479,0.7764,0.0440
1,1,0,25,24,1176,0.7855,0.0304,0.7735,0.0351
1,1,1,25,12,588,0.7885,0.0575,0.8061,0.0335
1,1,1,25,14,686,0.8151,0.0633,0.7913,0.0387
1,1,1,25,16,784,0.8092,0.0647,0.7972,0.0381
1,1,1,25,18,882,0.8033,0.0672,0.8002,0.0477
1,1,1,25,20,980,0.7828,0.0565,0.8091,0.0384
1,1,1,25,22,1078,0.7826,0.0371,0.8002,0.0363
1,1,1,25,24,1176,0.7619,0.0494,0.7796,0.0396
