d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,20,22,858,0.9244,0.0108,0.8985,0.0124
0,1,0,20,4,156,0.8405,0.0220,0.7884,0.0220
0,1,0,20,6,234,0.8457,0.0234,0.7948,0.0200
0,1,0,20,8,312,0.8619,0.0217,0.8015,0.0183
0,1,0,20,10,390,0.8662,0.0148,0.8104,0.0184
0,1,0,20,12,468,0.8625,0.0103,0.8186,0.0243
0,0,1,20,24,936,0.9195,0.0155,0.8979,0.0094
0,1,0,20,14,546,0.8601,0.0153,0.8232,0.0200
0,1,0,20,16,624,0.8677,0.0185,0.8287,0.0228
0,1,0,20,20,780,0.8637,0.0114,0.8348,0.0311
0,1,0,20,18,702,0.8631,0.0145,0.8268,0.0289
0,1,0,20,22,858,0.8610,0.0134,0.8354,0.0235
0,1,1,20,4,156,0.9043,0.0068,0.8662,0.0107
0,1,1,20,6,234,0.9098,0.0068,0.8887,0.0118
0,1,1,20,8,312,0.9104,0.0090,0.8918,0.0150
0,1,1,20,10,390,0.9168,0.0105,0.8994,0.0112
0,1,1,20,12,468,0.9271,0.0075,0.9131,0.0123
0,1,0,20,24,936,0.8625,0.0122,0.8381,0.0278
0,1,1,20,14,546,0.9259,0.0077,0.9134,0.0124
0,1,1,20,16,624,0.9204,0.0110,0.9018,0.0105
0,1,1,20,18,702,0.9229,0.0146,0.9049,0.0122
0,1,1,20,20,780,0.9226,0.0114,0.9070,0.0098
0,1,1,20,22,858,0.9271,0.0090,0.9098,0.0129
1,0,0,20,4,156,0.8829,0.0170,0.8220,0.0268
1,0,0,20,6,234,0.9000,0.0142,0.8506,0.0207
1,0,0,20,8,312,0.9000,0.0149,0.8607,0.0179
0,1,1,20,24,936,0.9287,0.0061,0.9101,0.0116
1,0,0,20,10,390,0.9076,0.0095,0.8677,0.0187
1,0,0,20,12,468,0.9088,0.0125,0.8689,0.0211
1,0,0,20,14,546,0.9116,0.0077,0.8720,0.0188
1,0,0,20,16,624,0.9165,0.0164,0.8692,0.0236
1,0,0,20,18,702,0.9058,0.0110,0.8723,0.0207
1,0,0,20,20,780,0.9061,0.0144,0.8732,0.0216
1,0,0,20,22,858,0.9085,0.0178,0.8744,0.0218
1,0,1,20,4,156,0.9088,0.0093,0.8860,0.0124
1,0,1,20,6,234,0.9220,0.0091,0.8918,0.0123
1,0,1,20,8,312,0.9216,0.0108,0.9037,0.0118
1,0,0,20,24,936,0.9107,0.0129,0.8738,0.0142
1,0,1,20,10,390,0.9235,0.0100,0.9052,0.0117
1,0,1,20,12,468,0.9265,0.0078,0.9110,0.0101
1,0,1,20,14,546,0.9290,0.0067,0.9107,0.0113
1,0,1,20,16,624,0.9308,0.0092,0.9186,0.0138
1,0,1,20,18,702,0.9320,0.0071,0.9207,0.0112
1,0,1,20,20,780,0.9314,0.0060,0.9244,0.0101
1,0,1,20,22,858,0.9329,0.0075,0.9143,0.0126
1,1,0,20,4,156,0.8838,0.0174,0.8357,0.0202
1,1,0,20,6,234,0.8933,0.0183,0.8439,0.0222
1,1,0,20,8,312,0.8997,0.0163,0.8579,0.0219
1,1,0,20,10,390,0.9082,0.0096,0.8784,0.0210
1,0,1,20,24,936,0.9348,0.0121,0.9174,0.0082
1,1,0,20,12,468,0.9046,0.0114,0.8753,0.0202
1,1,0,20,14,546,0.9131,0.0100,0.8774,0.0196
1,1,0,20,16,624,0.9088,0.0098,0.8729,0.0190
1,1,0,20,18,702,0.9088,0.0090,0.8762,0.0183
1,1,0,20,20,780,0.9119,0.0175,0.8814,0.0203
1,1,0,20,22,858,0.9125,0.0113,0.8823,0.0238
1,1,1,20,4,156,0.9015,0.0134,0.8613,0.0141
1,1,1,20,6,234,0.9186,0.0124,0.8942,0.0118
1,1,1,20,8,312,0.9220,0.0079,0.9006,0.0128
1,1,1,20,10,390,0.9241,0.0090,0.9058,0.0118
1,1,0,20,24,936,0.9134,0.0121,0.8848,0.0209
1,1,1,20,12,468,0.9238,0.0098,0.9107,0.0105
1,1,1,20,14,546,0.9293,0.0065,0.9165,0.0109
1,1,1,20,16,624,0.9271,0.0106,0.9122,0.0105
1,1,1,20,18,702,0.9348,0.0111,0.9216,0.0104
1,1,1,20,20,780,0.9360,0.0087,0.9195,0.0106
1,1,1,20,22,858,0.9271,0.0070,0.9183,0.0138
0,0,1,25,4,196,0.8997,0.0111,0.8655,0.0101
0,0,1,25,6,294,0.9095,0.0129,0.8854,0.0183
1,1,1,20,24,936,0.9357,0.0076,0.9244,0.0119
0,0,1,25,8,392,0.9180,0.0099,0.8973,0.0089
0,0,1,25,10,490,0.9186,0.0067,0.8863,0.0132
0,0,1,25,12,588,0.9201,0.0084,0.8915,0.0134
0,0,1,25,14,686,0.9131,0.0072,0.8948,0.0103
0,0,1,25,16,784,0.9241,0.0119,0.9018,0.0122
0,0,1,25,18,882,0.9210,0.0151,0.9030,0.0144
0,0,1,25,20,980,0.9216,0.0106,0.9009,0.0156
0,0,1,25,22,1078,0.9277,0.0098,0.9055,0.0132
0,1,0,25,4,196,0.8482,0.0171,0.8049,0.0188
0,1,0,25,6,294,0.8598,0.0187,0.8079,0.0168
0,1,0,25,8,392,0.8659,0.0187,0.8149,0.0190
0,1,0,25,10,490,0.8686,0.0251,0.8238,0.0279
